#Simulation Analysis Results CSV File 2019-01-03T11:47:22.820065,,,,
"#Generated on structure: ""frame000000""",,,,
TimeStep,Distance_FAD_C8-FMN_C8,Distance_FMN_C7-Heme_Fe,Rad_Gyration_POR-glob,HBonds_ASL_2D6-POR
48000,26.8426818847656,17.3447399139404,27.6119359294702,14
48150,27.1740875244141,18.1441135406494,27.4288005486027,12
48300,28.0822410583496,17.7352199554443,27.4888268527957,13
48450,26.6952800750732,17.1720199584961,27.3537453075553,13
48600,27.0227375030518,17.4995059967041,27.2864209977078,13
48750,26.9703998565674,18.2736015319824,27.348109009389,16
48900,26.9817371368408,17.4205913543701,27.498452630741,13
49050,27.6309947967529,17.0286693572998,27.313014238765,13
49200,26.565881729126,17.0751132965088,27.2825961699931,12
49350,26.2665634155273,17.600492477417,27.112210977269,10
49500,26.4502449035645,17.7383670806885,27.4757208367613,14
49650,26.4928684234619,17.08131980896,27.3377944911566,13
49800,26.9690437316895,17.0666484832764,27.157084896379,12
49950,26.0083713531494,17.4456672668457,27.4091843035646,12
50100,27.1724624633789,16.7160053253174,27.4374272484109,13
50250,28.2234268188477,17.2278633117676,27.5404892414138,12
50400,26.3065719604492,17.44167137146,27.350087695127,12
50550,28.2891845703125,17.2659854888916,27.3645541551208,11
50700,27.3942260742187,18.2044353485107,27.5207322558206,12
50850,27.5856971740723,17.0290641784668,27.4452167932929,13
51000,27.5720672607422,16.9470596313477,27.5329975958036,12
51150,26.0924453735352,17.9044647216797,27.3888170890437,15
51300,27.2456512451172,16.990478515625,27.2957068000334,15
51450,27.8346786499023,17.1775493621826,27.362203242656,13
51600,28.5228328704834,17.449031829834,27.4232069803007,14
51750,28.1916046142578,17.5466842651367,27.4164286631033,14
51900,27.8622341156006,17.6245346069336,27.3505800601964,17
52050,28.2388553619385,17.7153949737549,27.4932464861872,14
52200,27.3339519500732,17.0040664672852,27.3713230649348,15
52350,27.1434383392334,16.8200778961182,27.2692068489695,14
